Chrom	Start	End	Middle	OverlapGenes	NucDiv_kb	NucDiv_ModZ	IsNucDivHotspot	OvrlapWi_HmMapAln_PR	OvrlapWi_HmMapAln_LR	OvrlapWi_LowComplexityRegion	OvrlapWi_LowPmap	PLC_Mask_Ovrlap
NC_000962.3	0	1000	500.0	dnaA	0.217905	0.1278628159627603	False	0	0	0	0	0
NC_000962.3	1000	2000	1500.0	dnaA	0.790654	2.9202558602644078	False	0	0	0	0	0
NC_000962.3	2000	3000	2500.0	dnaN	0.30556	0.5552179266626671	False	0	0	0	0	0
NC_000962.3	3000	4000	3500.0	dnaN,recF	0.221073	0.1433081526885296	False	0	0	0	0	0
NC_000962.3	4000	5000	4500.0	recF,Rv0004	0.222481	0.15017274678887158	False	0	0	0	0	0
NC_000962.3	5000	6000	5500.0	gyrB	0.0790302	-0.5492104317404787	False	0	0	0	0	0
NC_000962.3	6000	7000	6500.0	gyrB	0.482806	1.4193669649504508	False	0	0	0	0	0
NC_000962.3	7000	8000	7500.0	gyrB,gyrA	0.6039910000000001	2.010194973508642	False	0	0	1	0	0
NC_000962.3	8000	9000	8500.0	gyrA	0.385118	0.9430967458636618	False	0	0	0	0	0
NC_000962.3	9000	10000	9500.0	gyrA,Rv0007	0.644562	2.2079957172905806	False	0	0	0	0	0
NC_000962.3	10000	11000	10500.0	Rv0007,ileT	0.171437	-0.09868829103630716	False	0	0	0	0	0
NC_000962.3	11000	12000	11500.0	alaT,Rv0008c	1.02176	4.046995124578054	False	0	0	0	0	0
NC_000962.3	12000	13000	12500.0	Rv0008c,ppiA	0.405536	1.0426431111625118	False	0	0	0	0	0
NC_000962.3	13000	14000	13500.0	ppiA,Rv0010c,Rv0011c	0.747354	2.709150089991109	False	0	0	0	0	0
NC_000962.3	14000	15000	14500.0	Rv0012,trpG	0.926184	3.5810217966417777	False	0	0	0	0	0
NC_000962.3	15000	16000	15500.0	trpG,pknB	0.8603550000000001	3.2600776453410627	False	0	0	0	0	0
NC_000962.3	16000	17000	16500.0	pknB	0.562012	1.8055296356263597	False	0	0	0	0	0
NC_000962.3	17000	18000	17500.0	pknB,pknA	1.04323	4.151670433764376	False	0	0	1	0	0
NC_000962.3	18000	19000	18500.0	pknA,pbpA	0.039075	-0.7440088906879079	False	0	0	1	0	0
NC_000962.3	19000	20000	19500.0	pbpA	0.0264020999999999	-0.805794625470737	False	0	0	0	0	0
NC_000962.3	20000	21000	20500.0	pbpA,rodA	0.225474	0.16476488467404435	False	0	0	0	0	0
NC_000962.3	21000	22000	21500.0	rodA,pstP	0.266661	0.3655688883748834	False	0	0	0	0	0
NC_000962.3	22000	23000	22500.0	pstP	0.20576	0.06865081642536525	False	0	0	0	0	0
NC_000962.3	23000	24000	23500.0	pstP,fhaB,fhaA	0.345691	0.75087348478825	False	0	0	0	1	0
NC_000962.3	24000	25000	24500.0	fhaA	0.221249	0.14416622695107237	False	0	0	0	0	0
NC_000962.3	25000	26000	25500.0	fhaA,leuT,Rv0021c	0.699303	2.4748811900511036	False	0	0	0	0	0
NC_000962.3	26000	27000	26500.0	Rv0021c	0.450983	1.2642164123544422	False	0	0	0	0	0
NC_000962.3	27000	28000	27500.0	whiB5,Rv0023	1.00923	3.9859060875913466	False	0	0	0	0	0
NC_000962.3	28000	29000	28500.0	Rv0023,Rv0024	0.241406	0.24244010712194708	False	0	0	0	0	0
NC_000962.3	29000	30000	29500.0	Rv0024,Rv0025,Rv0026	0.176894	-0.07208311347553611	False	0	0	0	0	0
NC_000962.3	30000	31000	30500.0	Rv0026	0.7221839999999999	2.5864357196036054	False	0	0	0	0	0
NC_000962.3	31000	32000	31500.0	Rv0026,Rv0027,Rv0028	0.437922	1.2005385263142678	False	0	0	0	0	0
NC_000962.3	32000	33000	32500.0	Rv0029	0.197311	0.027458376401367567	False	0	0	0	0	0
NC_000962.3	33000	34000	33500.0	Rv0029,Rv0030,Rv0031	0.779565	2.8661923063022687	False	0	0	0	0	1
NC_000962.3	34000	35000	34500.0	bioF2	0.0786781	-0.5509270678077587	False	0	0	0	0	0
NC_000962.3	35000	36000	35500.0	bioF2	0.5174799999999999	1.5884173455152621	False	0	0	0	0	0
NC_000962.3	36000	37000	36500.0	bioF2,acpA,Rv0034	0.945018	3.672845493577743	False	0	0	0	0	0
NC_000962.3	37000	38000	37500.0	Rv0034,fadD34	1.37396	5.764118734052781	False	0	0	0	0	0
NC_000962.3	38000	39000	38500.0	fadD34	0.163693	-0.1364435585881876	False	0	0	0	0	0
NC_000962.3	39000	40000	39500.0	Rv0036c,Rv0037c	0.815472	3.041254082126826	False	0	0	0	0	0
NC_000962.3	40000	41000	40500.0	Rv0037c	0.0658291	-0.6135713643953248	False	0	0	0	0	0
NC_000962.3	41000	42000	41500.0	Rv0037c,Rv0038	0.0917032	-0.4874242094154553	False	0	0	0	0	0
NC_000962.3	42000	43000	42500.0	Rv0039c,mtc28	0.690326	2.431114527239478	False	0	0	0	0	0
NC_000962.3	43000	44000	43500.0	mtc28,leuS	0.4461949999999999	1.2408728920757222	False	0	0	0	0	0
NC_000962.3	44000	45000	44500.0	leuS	0.50956	1.5498040037008392	False	0	0	0	0	0
NC_000962.3	45000	46000	45500.0	leuS	0.0264020999999999	-0.805794625470737	False	0	0	0	0	0
NC_000962.3	46000	47000	46500.0	leuS,Rv0042c	0.217905	0.1278628159627603	False	0	0	0	0	0
NC_000962.3	47000	48000	47500.0	Rv0042c,Rv0043c	0.230402	0.1887909640252409	False	0	0	0	0	0
NC_000962.3	48000	49000	48500.0	Rv0043c,Rv0044c	0.491078	1.4596964552899594	False	0	0	0	0	0
NC_000962.3	49000	50000	49500.0	Rv0044c,Rv0045c	0.628017	2.1273318611896177	False	0	0	0	0	0
